product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
63,Молоко,6948.0,98,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2003-06-06,2003-06-06,0.64,In Stock
64,Батат,9649.0,545,Овощи,Подходит для использования в качестве основы для смузи и коктейлей.,2023-07-11,2023-07-11,3.39,Awaiting Payment
65,Репа,4716.0,351,Овощи,Идеален для перекусов между основными приемами пищи.,2004-08-01,2004-08-01,4.86,Awaiting Review
66,Чоризо,5776.0,940,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2029-02-01,2029-02-01,4.27,Pending
67,Сметана,9676.0,534,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2029-02-28,2029-02-28,4.79,New
68,Шницель,3948.0,624,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2025-01-01,2025-01-01,4.88,Pending
69,Пакеты для Рождества,6742.0,836,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1995-02-07,1995-02-07,2.8,Pending
70,Сливки,6174.0,444,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-08-16,2019-08-16,3.37,Pending
71,Укроп,8947.0,351,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2011-05-26,2011-05-26,1.47,New
72,Щавель,7015.0,112,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2003-06-03,2003-06-03,2.03,Pending
73,Рулька,1088.0,212,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2030-02-04,2030-02-04,2.5,Available for Pickup
74,Томская,6311.0,773,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-02-04,1998-02-04,1.26,Available for Pickup
75,Волгодонская,7364.0,375,Напитки,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2024-10-12,2024-10-12,2.66,Backorder
76,Киви,720.0,371,Фрукты,Способствует улучшению работы пищеварительной системы.,2028-05-02,2028-05-02,2.33,New
77,Сырокопченая колбаса,5091.0,972,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-12-18,2018-12-18,2.26,Backorder
78,Гранат,3450.0,846,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2026-02-04,2026-02-04,1.12,Refunded
79,Уральская,1998.0,428,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2001-08-04,2001-08-04,2.12,Cancelled
80,Полотенца кухонные,6097.0,850,Товары для дома,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2029-08-05,2029-08-05,1.3,Pending
81,Ялтинская,1928.0,506,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2015-08-03,2015-08-03,1.86,Sold
82,Апельсин,9337.0,677,Фрукты,Способствует нормализации обмена веществ в организме.,2005-02-17,2005-02-17,3.53,Sold
83,Пармезан,3247.0,570,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2021-01-21,2021-01-21,0.8,Awaiting Payment
84,Шаверма,8546.0,992,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,2015-01-16,2015-01-16,2.75,In Stock
85,Каша из овса,604.0,43,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2011-04-02,2011-04-02,3.31,Pending
86,Пакет для заморозки,3099.0,172,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2007-02-09,2007-02-09,2.04,Returned
87,Малина,4747.0,960,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2022-04-07,2022-04-07,3.0,Cancelled
88,Самса,1071.0,259,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2021-01-08,2021-01-08,1.85,Backorder
89,Ямс,1646.0,740,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2016-06-01,2016-06-01,2.85,Shipping
90,Огурец,2507.0,683,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2015-01-22,2015-01-22,1.39,Returned
91,Капуста белокочанная,2700.0,485,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1995-01-01,1995-01-01,3.48,Delivered
92,Мате,9043.0,56,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2024-02-16,2024-02-16,0.5,Pending
93,Реутовская,1185.0,542,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2030-03-01,2030-03-01,4.47,Cancelled
94,Пакеты для офиса,4706.0,133,Товары для дома,Отличается низкой калорийностью и высоким содержанием белка.,2020-02-09,2020-02-09,1.53,Awaiting Review
95,Освежитель воздуха,7202.0,495,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2006-02-05,2006-02-05,1.32,Shipping
96,Авокадо,3414.0,116,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2023-02-28,2023-02-28,3.51,On Backorder
97,Сметана,7363.0,494,Молочные продукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2025-06-11,2025-06-11,1.78,Shipping
98,Панчетта,973.0,661,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,1994-02-01,1994-02-01,0.19,Pending
99,Баранина,8263.0,118,Мясо,Помогает поддерживать нормальный уровень артериального давления.,2003-02-06,2003-02-06,2.48,Cancelled
100,Золотое молоко,5845.0,842,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2005-01-01,2005-01-01,0.46,Pending
101,Помело,9269.0,694,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-06-03,2020-06-03,0.77,New
102,Фарш говяжий,8748.0,894,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2026-04-01,2026-04-01,3.16,Sold
103,Мандарин,8291.0,34,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,2016-01-02,2016-01-02,3.19,Pending
104,Каша из поленты,7437.0,990,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2022-03-02,2022-03-02,0.62,Out of Stock
105,Черника,1894.0,203,Фрукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1997-05-01,1997-05-01,1.31,Refunded
106,Шубат,3873.0,720,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2019-01-01,2019-01-01,1.84,Pending
107,Цветная капуста,9993.0,94,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2000-04-02,2000-04-02,2.94,Sold
108,Мыло жидкое,8374.0,604,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2025-07-02,2025-07-02,4.08,Awaiting Payment
109,Пельмени,4143.0,818,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,2022-01-05,2022-01-05,2.45,Awaiting Payment
110,Варено-копченая колбаса,2975.0,621,Мясо,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2030-08-10,2030-08-10,2.23,Refunded
111,Выборгская,6292.0,603,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",2024-05-08,2024-05-08,0.19,Cancelled
112,Черный перец горошком,4390.0,107,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2022-02-01,2022-02-01,0.48,Awaiting Payment
113,Горчица зерновая,7705.0,421,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2018-03-03,2018-03-03,2.64,Cancelled
114,Каша из пшена,9982.0,779,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2022-01-09,2022-01-09,2.14,Out of Stock
115,Папайя,5866.0,39,Фрукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2011-05-02,2011-05-02,2.19,Awaiting Review
116,Тыква,1860.0,495,Овощи,"Подходит для использования в диетах, направленных на снижение веса.",2029-02-04,2029-02-04,4.3,Shipping
117,Баранина,9276.0,232,Мясо,Помогает поддерживать нормальный уровень артериального давления.,2018-02-09,2018-02-09,4.15,On Backorder
118,Слива,4428.0,354,Фрукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2000-03-01,2000-03-01,5.0,Cancelled
119,Пастернак,7100.0,658,Овощи,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2024-04-11,2024-04-11,4.3,Awaiting Payment
120,Манго,2702.0,839,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2019-03-13,2019-03-13,2.9,Returned
121,Свекла,3199.0,645,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2026-03-04,2026-03-04,1.52,New
122,Киви,4116.0,484,Фрукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2004-01-04,2004-01-04,0.67,In Stock
123,Крыжовник,8864.0,638,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2011-06-02,2011-06-02,0.71,New
124,Шумовки,2530.0,575,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2021-01-01,2021-01-01,0.46,New
125,Сардельки,7899.0,901,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2021-07-15,2021-07-15,1.92,Awaiting Payment
126,Баклажан,5644.0,313,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2014-05-05,2014-05-05,1.99,Delivered
127,Подольская,7113.0,275,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2010-01-04,2010-01-04,3.1,Returned
128,Пакеты для свадьбы,1019.0,166,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2010-02-10,2010-02-10,4.93,Shipping
129,Фета,3543.0,209,Молочные продукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2016-01-16,2016-01-16,2.04,Refunded
130,Клубника,9339.0,583,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2019-06-12,2019-06-12,1.74,Refunded
131,Адлеркурортная,4398.0,522,Напитки,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2015-03-15,2015-03-15,0.57,Pending
132,Пахта,5611.0,702,Молочные продукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2019-03-03,2019-03-03,2.97,Cancelled
133,Клубника,7721.0,673,Фрукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2024-08-15,2024-08-15,0.98,Cancelled
134,Серебряный ключ,1949.0,16,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2023-08-07,2023-08-07,1.8,Delivered
135,Пакеты для Дня Земли,1810.0,765,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2027-06-05,2027-06-05,1.33,Refunded
136,Молоко,2170.0,730,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2026-04-02,2026-04-02,4.85,Out of Stock
137,Куриные голени,6547.0,602,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2023-02-03,2023-02-03,3.1,Sold
138,Тушенка,6561.0,499,Мясо,"Помогает улучшить состояние волос, ногтей и кожи.",2024-01-04,2024-01-04,3.21,New
139,Растительное масло льняное,8747.0,795,Бакалея,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2024-02-01,2024-02-01,4.17,Refunded
140,Fruko Schulz,7646.0,165,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2026-04-15,2026-04-15,3.1,Out of Stock
141,Пастернак,428.0,49,Овощи,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2014-02-01,2014-02-01,4.9,Backorder
142,Кесадилья с мясом,5933.0,88,Мясо,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2028-03-05,2028-03-05,0.25,Cancelled
143,Алуштинская,7757.0,857,Напитки,Подходит для использования в диетических программах для похудения.,2025-01-06,2025-01-06,4.33,Temporarily Unavailable
144,Ложки столовые,8724.0,972,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2028-02-22,2028-02-22,4.68,Cancelled
145,Сэндвичи с ветчиной,6556.0,445,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2006-03-11,2006-03-11,0.16,In Stock
146,Варено-копченая колбаса,1394.0,925,Мясо,Отличается низкой калорийностью и высоким содержанием белка.,2026-02-01,2026-02-01,1.88,Awaiting Review
147,Севастопольская,4078.0,460,Напитки,Подходит для использования в качестве замены традиционных молочных продуктов.,2013-01-20,2013-01-20,4.39,Out of Stock
148,Шейка,9173.0,336,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2024-02-01,2024-02-01,3.39,Out of Stock
149,Карамбола,2369.0,266,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2014-03-05,2014-03-05,0.79,Sold
150,Простокваша,3168.0,910,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2030-01-02,2030-01-02,2.49,On Backorder
151,Сливки,3966.0,700,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2011-02-01,2011-02-01,0.17,Awaiting Review
152,Камамбер,4499.0,376,Молочные продукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2009-07-07,2009-07-07,2.97,Pending
153,Сметана,5916.0,551,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2021-02-05,2021-02-05,5.0,Temporarily Unavailable
154,Пакеты для Дня матери,9631.0,785,Товары для дома,Способствует улучшению работы пищеварительной системы.,2023-02-04,2023-02-04,4.29,Refunded
155,Волжанка,1735.0,109,Напитки,"Отличается приятным ароматом, который усиливает аппетит.",2020-03-13,2020-03-13,4.06,Available for Pickup
156,Перец болгарский,3299.0,730,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,2027-05-05,2027-05-05,4.73,In Stock
157,Пушкинская,4607.0,716,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2027-02-26,2027-02-26,1.31,Backorder
158,Миргородская,1100.0,742,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,2023-03-01,2023-03-01,0.24,Temporarily Unavailable
159,Пакеты для барбекю,3676.0,112,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2016-03-03,2016-03-03,4.5,Out of Stock
160,Сок яблочный,7175.0,133,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2013-02-03,2013-02-03,2.65,Sold
161,Бамия,7316.0,225,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2021-01-07,2021-01-07,0.26,Cancelled
162,Айран,4857.0,885,Молочные продукты,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2012-01-03,2012-01-03,4.35,In Stock
163,Яблоко,661.0,480,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2021-04-25,2021-04-25,0.77,Sold
164,Майонез,3241.0,571,Бакалея,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2026-04-08,2026-04-08,1.26,Awaiting Payment
165,Эмменталь,8766.0,800,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2021-05-03,2021-05-03,0.14,On Backorder
166,Гусиные потроха,9948.0,565,Мясо,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2024-05-17,2024-05-17,2.65,Sold
167,Пакеты для ярмарки,1872.0,1000,Товары для дома,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2029-07-10,2029-07-10,3.23,Sold
168,Пакеты бумажные,5340.0,976,Товары для дома,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2024-02-08,2024-02-08,1.22,Sold
169,Просо,2135.0,558,Бакалея,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2023-03-17,2023-03-17,2.71,Available for Pickup
170,Сгущенное молоко,9391.0,779,Бакалея,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2024-05-12,2024-05-12,0.02,Sold
171,Пакеты для Всемирного дня театра,8576.0,836,Товары для дома,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2015-05-04,2015-05-04,1.63,Delivered
172,Салфетки сухие,2667.0,754,Товары для дома,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2007-03-01,2007-03-01,0.25,Sold
173,Эндивий,1660.0,349,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,2016-02-21,2016-02-21,3.06,Awaiting Payment
174,Компот из сухофруктов,379.0,915,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2016-01-23,2016-01-23,4.52,Refunded
175,Амарант семена,998.0,935,Бакалея,Помогает поддерживать нормальный уровень артериального давления.,2017-01-10,2017-01-10,0.73,Temporarily Unavailable
176,Слива,4655.0,944,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2028-04-17,2028-04-17,2.52,Sold
177,Перец болгарский,5830.0,474,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2006-02-01,2006-02-01,2.07,Sold
178,Российский сыр,2962.0,963,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2023-06-09,2023-06-09,4.48,Temporarily Unavailable
