product_id,name,price,quantity,description,production_date,expiration_date,rating,status
28,Пакеты для Всемирного дня воды,2509.0,647,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2003-02-04,2009-03-01,2.38,New
29,Сельдерей,3490.0,800,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1999-02-15,2021-08-07,1.17,On Backorder
30,Помело,7579.0,790,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2002-02-10,2028-01-01,1.72,In Stock
33,Чай черный,7042.0,401,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2013-01-10,2018-01-10,1.39,Pending
35,Шашлык,2373.0,499,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2012-05-01,2022-03-03,4.37,Returned
38,Моющее средство для стекол,4629.0,468,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1992-03-02,2022-09-06,4.4,Returned
41,Масло оливковое,6249.0,656,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2008-02-01,2028-04-24,0.77,Delivered
42,Пушкинская,1460.0,979,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2006-02-01,2015-02-12,2.52,New
43,Брынза,7146.0,791,Отличается натуральным составом и отсутствием искусственных добавок.,1999-05-04,2022-01-21,3.24,Available for Pickup
44,Растительное масло рапсовое,9275.0,628,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2012-01-05,2012-03-01,1.4,New
46,Пакеты для Дня благодарения,8695.0,543,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1994-05-03,1999-11-08,4.7,On Backorder
48,Каша из ржи,1154.0,608,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2010-04-03,2024-01-02,1.2,Awaiting Review
49,Растительное масло кокосовое,9880.0,859,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1996-05-06,2027-04-02,3.21,Backorder
50,Вяленое мясо,9449.0,724,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1994-03-06,1999-01-02,2.68,Awaiting Payment
51,Лимон,550.0,975,"Отличается приятным ароматом, который усиливает аппетит.",2019-02-11,2030-01-05,2.29,Temporarily Unavailable
54,Каша из гречки зеленой,4265.0,757,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1991-01-04,1992-04-12,1.77,In Stock
56,Блюдца,2624.0,820,Помогает поддерживать нормальный уровень холестерина в крови.,2004-08-18,2011-01-20,4.72,Sold
57,Пакеты для заморозки,2349.0,592,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2003-05-10,2026-02-19,4.73,In Stock
60,Марьинская,9495.0,617,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-02-11,2023-05-08,1.11,In Stock
62,Monster Energy,8326.0,652,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2021-01-08,2026-09-05,1.29,Available for Pickup
63,Постельное белье,5126.0,987,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2019-04-10,2026-01-01,2.43,In Stock
67,Каймак,1612.0,750,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2000-03-08,2020-10-11,0.1,Pending
68,Red Bull,3008.0,555,Способствует поддержанию нормальной микрофлоры кишечника.,2021-04-01,2027-08-09,2.72,Awaiting Review
69,Капуста белокочанная,3056.0,653,Отличается удобством использования и экономичностью в расходе.,2008-03-04,2019-02-05,4.53,Shipping
70,Паприка острая молотая,3145.0,539,Прошел все необходимые сертификации и соответствует международным стандартам.,2004-02-12,2004-05-07,4.45,Out of Stock
78,Тан,6964.0,748,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-02-05,2018-01-09,0.59,Shipping
79,Доски разделочные,3111.0,584,Поддерживает иммунитет и общее состояние здоровья.,2012-03-03,2021-11-01,4.8,Returned
81,Каша из пшеницы спельты,1008.0,707,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2008-03-14,2026-01-13,2.64,Sold
84,Пакеты для выставки,8818.0,824,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1994-02-05,2010-07-23,0.04,New
87,"Сухофрукты (изюм, курага, чернослив)",5941.0,742,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2010-04-04,2028-10-10,0.16,New
88,Adrenaline Rush,9961.0,586,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2022-01-01,2027-01-02,0.81,Delivered
92,Вяленое мясо,159.0,841,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2011-04-04,2023-06-14,0.29,Temporarily Unavailable
94,Сельдерей,8323.0,487,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1995-06-16,2014-08-09,0.72,Returned
96,Половники,6902.0,909,Отличается легкостью в переваривании и усвоении организмом.,2015-08-08,2020-07-07,2.05,Available for Pickup
98,Кофе молотый,3827.0,509,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2001-01-12,2014-03-06,3.87,Out of Stock
101,Пена для бритья,1052.0,655,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2004-03-11,2012-03-18,3.69,Available for Pickup
102,Смузи шпинатно-банановый,7370.0,489,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-06-12,2027-02-01,3.05,Backorder
103,Fruko Schulz,5043.0,707,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2008-06-11,2026-04-06,4.08,New
108,Мацони,2564.0,870,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1996-02-02,2005-01-10,2.94,Out of Stock
